Symbol,Price,Change,Change %,Market Cap,Volume,Volume In Currency (24hr),Total Volume All Currencies (24hr),Circulating Supply,52 Wk Change %
BTC-USD Bitcoin USD,"58,537.24",-804.09,-1.36%,1.156T,19.339B,19.339B,19.339B,19.742M,127.68%
ETH-USD Ethereum USD,"2,637.91",38.95,+1.50%,317.305B,9.932B,9.932B,9.932B,120.287M,56.82%
USDT-USD Tether USDt USD,1.0001,-0.0002,-0.02%,116.896B,37.591B,37.591B,37.591B,116.887B,0.04%
BNB-USD BNB USD,535.46,-0.34,-0.06%,78.142B,1.462B,1.462B,1.462B,145.936M,157.42%
SOL-USD Solana USD,142.92,1.7,+1.21%,66.63B,1.936B,1.936B,1.936B,466.208M,568.60%
USDC-USD USD Coin USD,0.999866,-9e-05,-0.01%,34.804B,3.384B,3.384B,3.384B,34.809B,0.00%
XRP-USD XRP USD,0.566723,0.000947,+0.17%,31.801B,712.926M,712.926M,712.926M,56.113B,7.97%
STETH-USD Lido Staked ETH USD,"2,636.78",29.13,+1.12%,25.921B,31.271M,31.271M,31.271M,9.83M,56.35%
TON11419-USD Toncoin USD,6.9999,0.5246,+8.10%,17.641B,419.678M,419.678M,419.678M,2.52B,374.60%
DOGE-USD Dogecoin USD,0.100417,-0.001624,-1.59%,14.62B,395.053M,395.053M,395.053M,145.593B,64.33%
ADA-USD Cardano USD,0.333975,-0.000172,-0.05%,12.004B,157.366M,157.366M,157.366M,35.943B,28.01%
WTRX-USD Wrapped TRON USD,0.134685,0.000899,+0.67%,11.775B,8.999M,8.999M,8.999M,87.423B,84.13%
TRX-USD TRON USD,0.134538,0.001129,+0.85%,11.698B,261.844M,261.844M,261.844M,86.952B,79.56%
WSTETH-USD Lido wstETH USD,"3,103.80",33.6,+1.09%,11.31B,16.292M,16.292M,16.292M,3.644M,61.77%
WBTC-USD Wrapped Bitcoin USD,"58,625.34",-752.93,-1.27%,9.053B,187.932M,187.932M,187.932M,154413,126.87%
WETH-USD WETH USD,"2,640.25",29.8,+1.14%,8.912B,514.182M,514.182M,514.182M,3.375M,56.58%
AVAX-USD Avalanche USD,20.82,0.2,+0.96%,8.23B,157.775M,157.775M,157.775M,395.365M,99.50%
SHIB-USD Shiba Inu USD,0.000013,-0.0,-0.87%,7.768B,113.35M,113.35M,113.35M,589.27T,62.50%
BCH-USD Bitcoin Cash USD,333.58,-7.23,-2.12%,6.588B,167.772M,167.772M,167.772M,19.749M,83.29%
DOT-USD Polkadot USD,4.3910,0.0338,+0.78%,6.51B,99.257M,99.257M,99.257M,1.483B,-1.55%
EDLC-USD Edelcoin USD,1.1251,-0.0,-0.00%,6.207B,11.531M,11.531M,11.531M,5.517B,12.48%
LINK-USD Chainlink USD,10.16,0.07,+0.66%,6.175B,163.471M,163.471M,163.471M,608.1M,64.27%
LEO-USD UNUS SED LEO USD,5.9529,0.0655,+1.11%,5.511B,2.508M,2.508M,2.508M,925.695M,54.90%
DAI-USD Dai USD,0.999969,-4.2e-05,-0.00%,5.365B,80.906M,80.906M,80.906M,5.365B,0.07%
LTC-USD Litecoin USD,66.21,-1.3,-1.93%,4.958B,228.118M,228.118M,228.118M,74.878M,0.93%
