country,year,energy_type,production_gwh,installed_capacity_mw,investments_usd,population,gdp,energy_consumption,energy_exports,energy_imports,co2_emissions,renewable_energy_jobs,government_policies,r&d_expenditure,renewable_energy_targets,average_annual_temperature,annual_rainfall,solar_irradiance,wind_speed,hydro_potential,geothermal_potential,biomass_availability,energy_storage_capacity,grid_integration_capability,electricity_prices,energy_subsidies,international_aid_for_renewables,public_awareness,energy_efficiency_programs,urbanization_rate,industrialization_rate,energy_market_liberalization,renewable_energy_patents,educational_level,technology_transfer_agreements,renewable_energy_education_programs,local_manufacturing_capacity,import_tariffs_on_energy_equipment,export_incentives_for_energy_equipment,natural_disasters,political_stability,corruption_perception_index,regulatory_quality,rule_of_law,control_of_corruption,economic_freedom_index,ease_of_doing_business,innovation_index,number_of_research_institutions,number_of_renewable_energy_conferences,number_of_renewable_energy_publications,energy_sector_workforce,proportion_of_energy_from_renewables,public-private_partnerships_in_energy,regional_renewable_energy_cooperation
USA,2011,Solar,85404.69003,5549.794323,5604124938,1064007213,1.77528E+14,369654.6442,93087.1982,13413.18474,294399.3779,756878,1,8676561392,1,21.95602807,157.0134566,203.0385974,5.838375137,95.59797188,2.516637266,30.26799917,367.5656833,0.313532392,0.149868031,168820814.7,236880384.7,7.171838536,0,58.56301846,9.518225988,0,423,5.954401441,0,1,58.77444467,79.05345924,1.62788852,0,1.173770724,8.829343004,5.093915975,2.207195363,6.339640452,49.21680034,57.67860504,76.80322835,851,75,6361,511658,25.9078946,1,0
Australia,2008,Geothermal,22205.06938,43211.5938,636188589.2,1033255852,6.43537E+13,771781.6363,1752.536054,78493.98221,826531.6783,945074,0,4421451900,1,24.63325575,1336.003208,111.1330777,14.87291712,71.73461449,88.70368337,36.03694545,556.5560327,0.836857131,0.331143975,845225474.7,152507363.2,9.350008758,1,30.58733114,29.71892167,0,519,0.759239873,0,1,82.39723008,33.31854683,96.10467229,1,6.79190235,3.757925859,6.810464686,6.312459959,0.723384897,79.99094231,1.761578933,48.69782525,590,39,9752,974948,95.00354665,0,1
Canada,2013,Biomass,94102.73204,6139.117212,6158679594,14895124,1.56793E+14,342707.1529,65146.5925,41114.87219,43695.24019,588423,1,8568534293,1,13.5019338,357.5170578,159.9964423,3.473209591,84.02229222,6.61165782,54.59594824,30.9864306,0.205287156,0.157541181,257833727.4,873341259,5.823927438,1,31.9137622,10.5071447,0,215,3.632895434,1,1,30.23888613,91.86134295,56.29839321,0,4.904172441,2.02206768,1.265453854,0.421432202,8.898477625,94.3740402,77.65733389,67.33481312,101,7,311,326318,67.35453937,1,0
Japan,2010,Biomass,88771.93291,40323.63926,8526116428,1448827283,1.35046E+14,498839.5743,50257.59101,42010.47594,840378.7967,11049,1,9958630991,0,1.090899563,2271.312021,297.163614,13.5755491,53.17173129,39.85638367,45.27613429,592.9484156,0.273250658,0.452970843,979826937.6,799937956.8,0.625429406,1,89.94682738,17.59918326,1,73,4.590745908,0,0,45.85393981,60.54180694,11.95011602,1,8.879933031,7.94865145,3.821774025,1.110782486,3.849473113,65.14347221,44.98773434,4.544288555,327,3,7708,506078,33.75410392,0,0
China,2018,Solar,93288.40858,30755.40306,5086237221,1499494307,8.67796E+13,819064.3628,63101.39556,17912.96194,162034.2543,225191,0,7608111766,1,30.6410219,2285.016014,133.2693777,14.96473876,46.42385929,98.6482068,93.72979603,933.7387958,0.18181132,0.058826791,676760614.7,96971816.25,1.321406483,0,44.69206128,44.31616621,1,859,0.001749564,1,0,64.51765071,95.84644762,99.97845992,1,7.700085218,5.596968235,2.029549775,0.634601783,1.345288842,86.21362568,62.53522285,10.28719912,985,69,4919,187964,59.5092277,1,0
India,2014,Wind,90483.64716,28526.81641,9359773764,796046057,1.20109E+13,363527.6978,81737.60005,79121.26501,132562.7863,816485,0,224698807,0,37.73960957,2457.028024,220.4361353,6.664297102,17.62275596,41.17803311,78.7585086,940.6148654,0.683330415,0.069662516,19569394.89,609103085.1,9.629536842,1,73.75245281,12.86581655,0,131,7.272709672,1,1,94.2007519,39.21875379,72.43875646,1,4.879020863,5.682031395,2.437824894,3.120685011,2.294287522,55.92616326,87.38831609,91.73983503,915,52,1684,602517,8.960623949,1,1
Germany,2014,Wind,5656.90599,20658.70473,7703453579,926881425,1.10481E+14,997437.3357,95825.29211,38129.25879,695687.1214,708461,1,7641579271,0,-1.998583502,721.5378944,256.7509535,10.96116215,89.33686008,41.64168152,32.29548661,924.6297211,0.872361212,0.498041253,200865724.7,908599450.3,4.325675241,0,20.94891826,52.34198916,1,237,3.126630657,1,1,12.61448102,52.18301817,48.40572486,1,6.988344927,3.19242981,8.9863442,3.97197678,4.415363297,40.33197102,54.15526217,55.12202854,419,67,895,188545,63.04955369,0,0
Germany,2016,Biomass,63308.32777,47740.69969,2808873173,518729600,2.71119E+13,228249.1337,28094.8297,93865.63561,85869.94341,354460,0,7855940459,0,16.02709221,1314.221459,223.8367002,10.53494152,65.81909481,30.11238943,36.68772532,48.38558073,0.682987064,0.189516464,737798234.7,793133419.9,0.18275519,0,48.65836596,72.70026722,0,219,3.402189315,1,1,31.27089908,15.0348186,93.18516098,1,7.576639531,0.618560962,4.147213598,2.94449003,9.134477481,26.97992324,94.81541769,31.32994605,187,72,8925,735675,66.6617072,0,1
Japan,2015,Biomass,70560.47106,37648.71897,9095394363,104974272,6.08862E+13,121449.8361,61009.67437,26814.90515,833178.3576,339831,0,9601446561,0,13.80486445,2196.322424,299.8272389,1.38912586,51.8985093,29.6513242,26.05564728,386.5403264,0.339812619,0.498282135,829625319.7,996826420.4,9.854449092,0,34.62481203,15.76922057,1,12,3.892325048,1,0,32.40605765,70.35486296,91.67484417,1,8.977770499,6.553234253,7.90528687,6.806181253,3.24582649,69.9413857,23.78018321,71.28660919,995,34,1287,707187,59.37523078,1,0
Canada,2002,Wind,57780.09975,22408.24192,2810623524,1304327983,7.97934E+13,364330.104,32170.71827,54550.20269,146833.0751,938728,0,7050800475,1,0.901703493,779.8273183,252.4078562,1.011794644,95.34374214,56.85597312,15.13697223,966.1894263,0.615386401,0.296301191,134868198.9,533067156.4,3.02309874,0,4.178583003,49.99449839,0,350,2.431867035,1,1,42.27695179,29.6903653,34.37316719,0,9.732791647,3.390933496,2.183376123,9.217718111,5.898518638,76.10949439,4.616307349,52.15074192,775,51,2919,573988,55.01812275,1,0
